Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
DHL Express 	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	1,750.00	FA21	Need											Unpaid	Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in AZ with travel expense and high cost housing	40	#VALUE!	42	8
Fuse Architects	Virtual Design & Const (UG21-BS)	3rd year undergraduate/junior	2,000.00	FA21	Need											International	Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in CA with high housing cost with travel expense	40	 in CA	44	50
HHI Corporation (53.31)	Virtual Design & Const (UG19-BS)	2nd year undergraduate/sophomore	375	FA21	No Need											Married	Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in CA witn no need, but travel expense	40	#VALUE!	30	#VALUE!
Young Living essential oils	Chemistry (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid			working 40 	8	19	Maried working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
Legacy Logistics 	Business Management Ops (UG20-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in UT supporting 2 households with travel expense	40	#VALUE!	59	8
stukent 	Bus Mgmt Marketing (UG20-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 24 	23	34	Married international working 24 hrs/wk paid in Rexburg with some travel expense	24	 in Rexburg	45	56
Farnsworth middle school	Social Work (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 24 	9	20	Married working 24 hrs/wk unpaid in Rigby with no need, but some travel expense	24	 in Rigby	33	42
McCarthy	Construction Management (UG20-BS)	3rd year undergraduate/junior	500	FA21	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk a week paid in Arizone. Has need. Has some travel expense.	40	#VALUE!	38	#VALUE!
Extra Space Storage (20)/4th year undergraduate/senior	Software Engineering (UG17-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid	Yes	Yes	working 40 	32	43	Married International student, working 40 hrs/wk a week paid in SLC. No Need. They have some travel expense.	40	#VALUE!	61	#VALUE!
Idaho State Department of Health and Welfare 	Social Work (UG19-BS)	4th year undergraduate/senior	500	FA21	Need				IF								Eastern Idaho	Unpaid			working 20 	19	30	Single US citizen working 20 hrs/wk a week unpaid in IF. Has need and travel expense	20	#VALUE!	50	#VALUE!
Valerie dimick institute 	Social Work (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid			working 40 	19	30	Single US Citizen working 40 hrs/wk a week unpaid in Las Vegas. She does have travel expense. She does have financial need.	40	#VALUE!	50	#VALUE!
EIRMC	Health Care Admin (UG19-BS)	4th year undergraduate/senior	750	FA21	Need				IF								Eastern Idaho	Unpaid	Yes		working 20 	30	41	Single International student working 20 hrs/wk a week unpaid in IF. She does have need. She does have travel expense.	20	#VALUE!	61	#VALUE!
Rexburg Free Clinic 	Public Health-Epidemiology (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 22 	35	46	Married with one child US citizen working 22 hrs/wk a week unpaid in Rexburg. No need.	22	#VALUE!	66	8
Rexburg Community Theatre	Theatre Studies-Design/Technical (UG19-BA)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 40 	19	30	Single US citizen working 40 hrs/wk a week unpaid in Rexburg. Student does have need.	40	#VALUE!	50	#VALUE!
Assure	Business Analytics (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid	Yes		working 40 	30	41	Single International student working 40 hrs/wk a week paid in Utah. Has need. Has travel expense. 	40	#VALUE!	59	#VALUE!
Madison Middle School 	Psychology-Health Psychology (UG21-BS)	4th year undergraduate/senior	1,000.00	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk in Rexburg unpaid	20	#VALUE!	51	8
True North Wealth	Business Finance (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid			working 40 	8	19	single working 40 hrs/wk paid in UT with travel expense and an exam expense	40	 in UT	30	36
XY Planning Network	Financial Economics (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Montana 	20	#VALUE!	44	#VALUE!
Worldwide healthstaff solutions	Health Care Admin (UG22-BS)	3rd year undergraduate/junior	250	FA21	Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid with some travel remote in NC	20	#VALUE!	54	30
Andrew & Andrew LLC 	Business Management-Finance (UG15-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in UT with travel	40	 in UT	46	52
Premier Therapy	Health Care Admin (UG15-BS)	4th year undergraduate/senior	500	FA21	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20	20	30	Married with child working 20hrs/wk unpaid in Idaho Falls with no need, with travel expense	20	#VALUE!	43	8
Bonneville Youth Develpment Counsil	Public Health-Health Science (UG17-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expenses	20	 in Idaho Falls	32	47
Knight Technical Solutions	Mechanical Engineering (UG19-BS)	4th year undergraduate/senior	184	FA21	Need												Outside	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid in Alabama living with family	20	#VALUE!	42	8
Rollins + Petersen orthodontics	Exercise Physiology (UG16-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in AZ with travel expense	25	 in AZ	33	39
Juvenile Probation - Madison County, Idaho	Social Work (UG21-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	22	33	single international working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	46	#VALUE!
D7 Treatment	Social Work (UG17-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in idaho Falls with some travel expense	20	 in idaho Falls	32	47
Rexburg Chamber of Commerce	Communication-Public Relations (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	26	37	Single international stu working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	50	#VALUE!
The church of Jesus Christ of Latter Day saints	Communication-Strat Org Comm (UG22-BS)	3rd year undergraduate/junior	1,750.00	FA21	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Washinginn DC with travel expense	40	 in Washinginn DC	32	49
20/20 Counseling Center 	Marriage and Fam Studies-Professional General (UG15-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid		Yes	working 40 	23	34	Married with children working 40 hrs/wk paid in UT with travel expense	40	#VALUE!	45	8
Journeys DDA 	Health Care Admin (UG20-BS)	4th year undergraduate/senior	500	FA21	Need									Pocatello			Eastern Idaho	Unpaid			working 20	8	18	Single working 20hrs/wk unpaid in Pocatello with travel expense	20	 in Pocatello	31	44
Alevia PT	Exercise Physiology (UG16-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in OR with travel expense	20	 in OR	32	38
CAL Ranch Store	Business Analytics (UG21-BS)	3rd year undergraduate/junior	1,000.00	FA21	Need							Ammon					Eastern Idaho	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in Ammon with travel expense	40	#VALUE!	59	8
Rehab Specialists of Idaho	Exercise Physiology (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg 	20	#VALUE!	30	#VALUE!
The church of Jesus Christ of Latter Day saints	Computer Info Technology (UG20-BS)	4th year undergraduate/senior	375	FA21	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with travel expense	40	 in UT	30	36
Fin Fun (Blue Springs Partners LLC) 	Business Management (UG19-BS)	4th year undergraduate/senior	250	FA21	Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls with travel expense	40	 in Idaho Falls	30	45
Mobiledash, LLC	Software Engineering (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	34	45	married with child international working 20 hrs/wk paid in Rexburg	20	#VALUE!	56	8
Polaris INC	Mechanical Engineering (UG19-BS)	3rd year undergraduate/junior	375	FA21	Need												Outside	Paid	Yes		working 40 	26	37	Single international stu working 40 hrs/wk paid in Minisota with travel	40	 in Minisota	48	60
Research and Business Development Center 	Data Science (UG19-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 28 	22	33	Single international working 28 hrs/wk unpaid in Rexburg	28	#VALUE!	46	#VALUE!
Richland Community College	Communication-Strat Org Comm (UG20-BS)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid		Yes	working 25 	9	20	Married working 25 hrs/wk paid in IL living with family with no need. 	25	 in IL living	31	44
Intermountain healthcare 	Computer Info Technology (UG15-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid living with family with no need but with travel expense	40	#VALUE!	#VALUE!	37
Holden, Kidwell, Hahn & Crapo PLLC 	Political Science-Foreign Affairs (UG17-BA)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Paid	Yes		working 25 	22	33	Single international working 25 hrs/wk paid in Idaho Falls with travel expense	25	 in Idaho Falls	44	59
Maple Lake Academy	Therapeutic Recreation (UG20-BS)	4th year undergraduate/senior	625	FA21	No Need				IF								Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT living with family with no need but with travel expense and a certification exam expense	40	 in UT living	33	46
Stone Design Group	Construction Management-Architecture (UG17-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Boise working remote	20	#VALUE!	45	#VALUE!
Malaleuca	Bus Mgmt Marketing (UG20-BS)	3rd year undergraduate/junior	375	FA21	No Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 30 	38	49	married with child international stu working 30 hrs/wk paid in Rexburg with no need 	30	#VALUE!	60	8
Hardy Nutritionals	Food Sciences-Management (UG19-BS)	4th year undergraduate/senior	625	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 30 	27	38	Married international stu working 30 hrs/wk unpaid in Rexburg	30	#VALUE!	51	#VALUE!
Caliber Solar	Fine Arts-Graphic Design (UG19-BFA)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need 	40	 in Rexburg	31	42
Sugar Salem High School	Social Work (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need					Sugar City							Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Sugar city living with family with no need	20	 in Sugar city living	32	53
Research and Business Development Center 	Data Science (UG21-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid	Yes		working 20 	26	37	Single international stu working 20 hrs/wk paid in Rexburg with no need 	20	 in Rexburg	48	59
BYU-Pathway Worldwide 	Data Science (UG20-BS)	3rd year undergraduate/junior	250	FA21	No Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in rexburg with no need but with travel expense	40	 in rexburg	46	57
Samaritan Healthcare 	Software Engineering (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid in WA with no need but have travel expense	20	#VALUE!	42	8
Huntsman Wholesale	Business Management (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20	20	30	Married with child working 20hrs/wk paid in Rexburg with no need	20	#VALUE!	41	8
Kershaw Intermediate- Sugar Salem School District	Social Work (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Unpaid		Yes	working 43 	9	20	Married working 43 hrs/wk unpaid in Sugar with no need	43	 in Sugar	33	42
Home Care Plus 	Bus Mgmt Marketing (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 24	9	19	Married working 24hrs/wk paid in Rexburg with no need	24	 in Rexburg	30	41
Samnmina Corporation	Mechanical Engineering (UG19-BS)	2nd year undergraduate/sophomore	1,125.00	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with no need, but travel expenses	40	 in CA	31	37
The church of Jesus Christ of Latter Day saints	Computer Info Technology (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need, but travel expenses	40	 in UT	44	50
CAL Ranch Store 	Business Analytics (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need							Ammon					Eastern Idaho	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Ammon with no need but travel expense	40	#VALUE!	42	8
Scribe America/EIRMC	Biology-Human Biology (UG17-BS)	4th year undergraduate/senior	750	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 33 	20	31	married with child working 33 hrs/wk unpaid in Idaho Falls with travel expense	33	#VALUE!	44	8
DSW Homes	Virtual Design & Const (UG19-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in TX with no need but travel expense	40	 in TX	44	50
Madison Fire Department 	Occup Safety & Health (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 30 	23	34	married with children working 30 hrs/wk unpaid in Rexburg 	30	#VALUE!	47	8
The church of Jesus Christ of Latter Day saints	Accounting (UG19-BS) (comp A)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel expense	40	 in UT	44	50
Worldwide healthstaff solutions	Business Finance (UG21-BS)	2nd year undergraduate/sophomore	750	FA21	Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid in AZ with travel costs	20	 in AZ	30	36
Mills Wealth Management	Business Finance (UG19-BS)	3rd year undergraduate/junior	1,125.00	FA21	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with no need but travel expense	40	 in CA	31	37
Commercial Tire	Automotive Engineering (UG20-BS)	4th year undergraduate/senior	184	FA21	Need	Rexburg											Eastern Idaho	Paid		Yes	working35 	9	19	married working35 hrs/wk paid in Rexburg with no  need	35	 in Rexburg	30	41
Juvenile Probation 	Marriage and Fam Studies (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk unpaid in Rexburg with travel expense	20	 in Rexburg	47	58
Flixcard	Computer Info Technology (UG21-BS)	4th year undergraduate/senior	250	FA21	Need												Outside	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in MD living with family with travel expense	30	 in MD living	31	44
BYU Pathway	Data Science (UG19-BS)	4th year undergraduate/senior	184	FA21	Need												Outside	Paid			working 40 	8	19	single working 40 hrs/wk paid in UT living with family with travel expense	40	 in UT living	30	43
Animal Shelter 	Animal Science (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Paid			working 30 	8	19	Single working 30 hrs/wk paid in Rexburg	30	#VALUE!	30	#VALUE!
BYU-Idaho	Computer Info Technology (UG17-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 21 	23	34	Married international working 21 hrs/wk paid in Rexburg 	21	#VALUE!	45	#VALUE!
Zsuite Technologies 	Software Engineering (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in rexburg with travel 	20	 in rexburg	32	43
Shelfology 	Mechanical Engineering (UG19-BS)	3rd year undergraduate/junior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Rexburg with no need	30	 in Rexburg	31	42
Research and Business Development Center 	Financial Economics (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 22 	9	20	Married working 22 hrs/wk paid in Rexburg with no need	22	 in Rexburg	31	42
Research and Business Development Center 	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes		working 30 	22	33	Single international working 30 hrs/wk paid in Rexburg 	30	#VALUE!	44	#VALUE!
BYU-Idaho	Business Analytics (UG20-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 40 	37	48	married with children international working 40 hrs/wk paid in Rexburg 	40	#VALUE!	59	8
International Rescure Commitee	Social Work (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes		working 21 	22	33	Single international working 21 hrs/wk paid in UT with travel expense	21	 in UT	44	50
Dustin Enggineers	Business Management (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid in Rexburg 	20	#VALUE!	56	8
Idaho Central Credit Union	Computer Info Technology (UG20-BS)	4th year undergraduate/senior	750	FA21	Need									Pocatello			Eastern Idaho	Paid	Yes	Yes	working 30 	37	48	married with children international working 30 hrs/wk paid in Pocatello area with travel expense	30	#VALUE!	59	8
South Fork Animal Clinic 	Animal Science (UG20-AS)	2nd year undergraduate/sophomore	500	FA21	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Rigby with travel expense	40	 in Rigby	33	42
Tiger World	Biology-Zoology (UG21-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid			working 50 	8	19	Single working 50 hrs/wk unpaid in NC with travel expense	50	 in NC	32	38
Rigby Middle School	Social Work (UG21-BS)	4th year undergraduate/senior	750	FA21	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel	20	 in Rigby	33	42
Lake Powell Marine	Business Management Ops (UG20-BS)	4th year undergraduate/senior	625	FA21	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in AZ with no need, but travel expense	40	#VALUE!	42	8
Hoffman Construction Company	Virtual Design & Const (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in OR with no need, but travel expenses	40	 in OR	30	36
Department of Health and welfare	Social Work (UG17-BS)	4th year undergraduate/senior	375	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Rexburg	20	#VALUE!	45	#VALUE!
Cottonwood Elementary School	Social Work (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with no need but travel expenses	20	 in Rigby	33	42
Stukent INC	Computer Info Technology (UG21-BS)	3rd year undergraduate/junior	500	FA21	No Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	34	45	married with child international working 40 hrs/wk paid in Idaho Falls with travel , but no need	40	#VALUE!	56	8
Payson Fruit Growers	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	500	FA21	Need	Rexburg											Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Rexburg with travel epense	30	 in Rexburg	31	42
BYU-Idaho University Relations	Bus Mgmt Marketing (UG21-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid in Rexburg with no need	20	#VALUE!	42	8
Design Intelligence LLC 	Mechanical Engineering (UG21-BS)	3rd year undergraduate/junior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	31	42
Bonneville Youth Develpment Counsil	Public Health-Health Ed and Promotion (UG19-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	single working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	32	47
Lowry Dental	Health Care Admin (UG17-BS)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Boise no need with travel expenses	30	 in Boise no need	31	48
Family Search 	Data Science (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes	Yes	working 20 	23	34	married international working 20 hrs/wk paid in UT with travel expense	20	 in UT	45	51
Engineered Labs	Biochemistry (UG19-BS)	3rd year undergraduate/junior	375	FA21	No Need						St Anthony						Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married International working 20 hrs/wk paid in St Anthony no need with travel expense	20	 in St Anthony no need	45	67
Wilcox Fresh	Accounting (UG17-BS) (comp B)	4th year undergraduate/senior	184	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rexburg with no need 	20	 in Rexburg	31	42
BYU-Pathway Worldwide 	Art-Graphic Design (UG17-BA)	4th year undergraduate/senior	250	FA21	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT 	40	#VALUE!	44	#VALUE!
Fin Fun (Blue Springs Partners LLC) 	Business Supply Chain (UG19-BS)	4th year undergraduate/senior	500	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls 	20	#VALUE!	33	#VALUE!
University of California, Davis	Biology-Neuroscience (UG17-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Unpaid	Yes		working 50 	22	33	Single international working 50 hrs/wk  unpaid in CA 	50	#VALUE!	47	#VALUE!
Cooper Norman CPA & Business Advisor	Accounting (UG20-BS)	4th year undergraduate/senior	750	FA21	Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	45	60
C&B Operations (John Deere)	Advanced Vehicle Systems (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 35 	20	31	Married with child working 35 hrs/wk paid in Rexburg with no need 	35	#VALUE!	42	8
Alturas Homes	Virtual Design & Const (UG19-BS)	3rd year undergraduate/junior	375	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Boise no need with travel expense	40	 in Boise no need	44	61
CBIZ	Business Finance (UG20-BS)	4th year undergraduate/senior	1,125.00	FA21	No Need												Outside	Paid		Yes	working 45 	9	20	Married working 45 hrs/wk paid in CA with no need but travel expense	45	 in CA	31	37
HKA	Data Science (UG20-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in CA with travel expense	20	 in CA	44	50
Centre Square	Bus Mgmt Marketing (UG21-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg 	20	#VALUE!	30	#VALUE!
EIRMC	Health Care Admin (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Idaho falls no need with trave; expense	25	 in Idaho falls no need	33	56
